id,name,size,sizeUnit,category,brand,images,level1,level2,designChanges
1487,7 Stars Energy 500ml,500.0,ml,ENERGY,7 Stars,https://services.traxretail.com/images/traxus/ccza/Product_Images/bb777061-e977-4afa-a0b7-a13317202344/a547e050-3707-11e8-8920-cbcf16b2f1e0/original,ENERGY,https://services.traxretail.com/images/traxus/ccza/Brands/138/20170301135918/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/1487/dvc/Front20180403062906/original
1395,7 Stars Energy can 440ml,0.44,l,ENERGY,7 Stars,https://services.traxretail.com/images/traxus/ccza/Product_Images/8307/original,ENERGY,https://services.traxretail.com/images/traxus/ccza/Brands/138/20170301135918/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/1395/dvc/Front20190430153433/original
4087,7 Stars Energy Drink Berry Can 500 ml,500.0,ml,ENERGY,7 Stars,https://services.traxretail.com/images/traxus/ccza/Product_Images/4087/Front20190612002303/original,ENERGY,https://services.traxretail.com/images/traxus/ccza/Brands/138/20170301135918/original,
3221,7 Stars Ginger Energy Can 500 ml,500.0,ml,ENERGY,7 Stars,https://services.traxretail.com/images/traxus/ccza/Product_Images/3221/Front20181123105909/original,ENERGY,https://services.traxretail.com/images/traxus/ccza/Brands/138/20170301135918/original,
812,7 UP FREE 2L PET,2.0,l,SSD,7 UP,https://services.traxretail.com/images/traxus/ccza/Product_Images/822/original,,,
940,7 UP FREE 600ML PET,0.6,l,SSD,7 UP,https://services.traxretail.com/images/traxus/ccza/Product_Images/951/original,,,
740,7 UP REGULAR 1.5L PET,1.5,l,SSD,7 UP,https://services.traxretail.com/images/traxus/ccza/Product_Images/750/original,,,
1062,7 UP REGULAR 2L PET,2.0,l,SSD,7 UP,https://services.traxretail.com/images/traxus/ccza/Product_Images/1073/original,,,
1063,7 UP REGULAR 330ML CAN,0.33,l,SSD,7 UP,https://services.traxretail.com/images/traxus/ccza/Product_Images/1074/original,,,
1086,7 UP REGULAR 500ML PET,0.5,l,SSD,7 UP,https://services.traxretail.com/images/traxus/ccza/Product_Images/1116/original,,,
938,7 UP REGULAR 600ML PET,0.6,l,SSD,7 UP,https://services.traxretail.com/images/traxus/ccza/Product_Images/949/original,,,
942,APPLETISER CFJ 750ML GLASS,0.75,l,JUICES,APPLETISER,https://services.traxretail.com/images/traxus/ccza/Product_Images/953/original,,,
733,APPLETISER CFJ APPLE 1.25L PET,1.25,l,JUICES,APPLETISER,https://services.traxretail.com/images/traxus/ccza/Product_Images/743/original,,,
806,APPLETISER CFJ APPLE 275ML GLASS,0.275,l,JUICES,APPLETISER,https://services.traxretail.com/images/traxus/ccza/Product_Images/816/original,,,
832,APPLETISER CFJ APPLE 330ML CAN,0.33,l,JUICES,APPLETISER,https://services.traxretail.com/images/traxus/ccza/Product_Images/842/original,Juices,https://services.traxretail.com/images/traxus/9/original,
1482,Appletiser Lightly Sparkling 100%  Apple Juice 6x330ml,0.33,l,JUICES,APPLETISER,https://services.traxretail.com/images/traxus/ccza/Product_Images/bd9b4224-36b6-4e0a-99b2-6557389e7d78/eaa97cb0-04c3-11e8-bcf1-9115570bbcaf/original,,,
3301,Appletiser Sparkling 100 Present Apple Juice Wrap Plastic 6 Pack x 275 ml,275.0,ml,JUICES,APPLETISER,https://services.traxretail.com/images/traxus/ccza/Product_Images/3301/Front20181123110228/original,,,
3302,Aquelle Apple Flavored Sparkling Drink Bottle 1.5 l,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3302/Front20181123110228/original,,,
2509,Aquelle Apple Limited Edition 500 ml,500.0,ml,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/2509/Front20180509083507/original,,,
3303,Aquelle Granadilla Flavored Sparkling Drink Bottle 1.5 l,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3303/Front20181123110228/original,,,
2510,Aquelle Granadilla Limited Edition 500 ml,500.0,ml,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/2510/Front20180509083612/original,,,
744,AQUELLE SPARKLING HONEY MELON 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/754/original,,,
881,AQUELLE SPARKLING HONEY MELON 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/891/original,,,
750,AQUELLE SPARKLING LEMON 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/760/original,,,
887,AQUELLE SPARKLING LEMON 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/897/original,,,
747,AQUELLE SPARKLING LITCHI 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/757/original,,,
884,AQUELLE SPARKLING LITCHI 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/894/original,,,
745,AQUELLE SPARKLING MARULA 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/755/original,,,
882,AQUELLE SPARKLING MARULA 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/892/original,,,
746,AQUELLE SPARKLING NAARTJIE 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/756/original,,,
883,AQUELLE SPARKLING NAARTJIE 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/893/original,,,
3304,Aquelle Sparkling Natural Spring Water Wrap Plastic 6 Pack x 500 ml,500.0,ml,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3304/Front20181123110228/original,,,
748,AQUELLE SPARKLING PEACH LITE 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/758/original,,,
