,id,sku_name
0,12130,Volvic Touch Of Fruit Strawberry Sugar Free Plastic Bottle 500 ml
1,11135,Volvic Touch Of Fruit Strawberry Plastic Bottle 1500 ml
2,12148,Volvic Touch Of Fruit Rhubarb Sugar Free Plastic Bottle 1500 ml
3,12175,Volvic Juicy Berry Plastic Bottle 1000 ml
4,12147,Vita Coco Coconut Water With Pineapple Tetra 330 ml
5,11188,Vita Coco Coconut Water Pressed Coconut Tetra 500 ml
6,12146,Vita Coco Coconut Water Pressed Coconut Tetra 1000 ml
7,12168,Vita Coco Coconut Milk Original Tetra 1000 ml
8,12145,Vimto Still No Added Sugar Tetra 250 ml
9,11504,Vimto Still No Added Sugar Plastic Bottle 500 ml
10,12151,Vimto Squash Plastic Bottle 1000 ml
11,12152,Vimto Squash No Added Sugar Plastic Bottle 1000 ml
12,12150,Vimto Fizzy Zero Plastic Bottle 500 ml
13,12138,"Vimto Fizzy Remix Raspberry,Orange And Passionfruit Can 330 ml"
14,12139,"Vimto Fizzy Remix Mango,Strawberry And Pineapple Can 330 ml"
15,12164,Tropicana Watermelon Apple And Raspberry Plastic Bottle 300 ml
16,12162,Tropicana Ruby Breakfast Tetra 850 ml
17,12161,Tropicana Pure Premium Pink Grapefruit Tetra 950 ml
18,12134,Tango Orange Sugar Free Can 330 ml
19,12167,Robinsons Fruit Shoot Apple Plastic Bottle 275 ml
20,12166,Robinsons Fruit Shoot Apple Plastic Bottle 200 ml
21,12140,Relentless Apple Kiwi Energy Drink Sleek Can 500 ml
22,12171,Red Bull The Coconut Edition Coconut Berry Energy Drink Sleek Can 355 ml
23,12136,Pepsi Wild Cherry Can 355 ml
24,12165,Pepsi Twist Lemon Can 330 ml
25,12169,Pepsi Sleek Can 330 ml
26,10906,Pepsi Diet Plastic Bottle 500 ml
27,12149,Pepsi Caffeine Free Can 355 ml
28,12137,Lucozade Sport Fit Water Plastic Bottle 600 ml
29,12135,Lipton Peach Ice Tea Can 330 ml
30,12173,Lipton Green Ice Tea Plastic Bottle 500 ml
31,12174,Lipton Green Ice Tea Lime And Mint Plastic Bottle 500 ml
32,12133,IRN-BRU Plastic Bottle 1000 ml
33,12172,Highland Spring Sparkling Plastic Bottle 500 ml
34,12132,Fanta Orange Plastic Bottle 3000 ml
35,12131,Fanta Laici Lychee Sleek Can 320 ml
36,12170,Diet Coke No Sugar No Calories Plastic Bottle 1250 ml
37,12144,Capri-Sun Fruity Water Mango Passion Fruit Pouch 200 ml
38,12143,Capri-Sun Fruit Crush Tropical Pouch 200 ml
39,12141,7Up Free Glass Bottle 330 ml
40,12142,7Up Cherry Can 355 ml
41,11620,Combo_Volvic Natural Mineral Water Plastic Bottle 500 ml_Colour Plastic Film 6 Plastic Bottle
42,11592,Combo_Sprite Lower Sugar Great Taste Can 330 ml_Colour Plastic Film 4 Can
43,11637,Combo_Rubicon Mango Tetra 1000 ml_Plastic Film 4 Tetra
44,11587,Combo_Pepsi Diet Can 330 ml_Colour Plastic Film 8 Can
45,11588,Combo_Pepsi Diet Can 330 ml_Colour Plastic Film 24 Can
46,11636,Combo_Lucozade Sport Raspberry Plastic Bottle 500 ml_Portable 6 Plastic Bottle
47,11638,Combo_Lucozade Sport Orange Plastic Bottle 500 ml_Portable 4 Plastic Bottle
48,11622,Combo_Highland Spring Still Spring Water Plastic Bottle 750 ml_Colour Plastic Film 20 Plastic Bottle
49,11619,Combo_Highland Spring Still Spring Water Plastic Bottle 330 ml_Colour Plastic Film 24 Plastic Bottle
50,11633,Combo_Evian Eau Natural Mineral Water Plastic Bottle 1500 ml_Colour Plastic Film 6 Plastic Bottle
51,11598,Combo_Diet Coke Mini Can 200 ml_Cardboard Box 6 Can
52,11612,Combo_Diet Coke Can 330 ml_Cardboard Box 18 Can
53,11589,Combo_Coca Cola Zero Sugar Can 330 ml_Colour Plastic Film 8 Can
54,11590,Combo_Coca Cola Zero Sugar Can 330 ml_Cardboard Box 18 Can
55,11594,Combo_Coca Cola Glass Bottle 250 ml_Portable 8 Glass Bottle
56,11593,Combo_Coca Cola Can 330 ml_Cardboard Box 15 Can
57,11634,Combo_Buxton Still Water Plastic Bottle 500 ml_Colour Plastic Film 8 Plastic Bottle
58,11639,Combo_Buxton Still Natural Mineral Water Plastic Bottle 1500 ml_Colour Plastic Film 6 Plastic Bottle
59,12079,Volvic Touch Of Fruit Watermelon Sugar Free Plastic Bottle 750 ml
60,12056,Volvic Juicy Berry Plastic Bottle 500 ml
61,12077,Volvic Juiced Berry Medley Plastic Bottle 500 ml
62,12078,Tango Orange Sugar Free Plastic Bottle 2000 ml
63,11366,Tango Apple Plastic Bottle 500 ml
64,11085,Sprite No Sugar Lemon Lime And Cucumber Great Taste Plastic Bottle 500 ml
65,12076,Sprite No Sugar Great Taste Can 150 ml
66,12074,Sprite Lower Sugar Great Taste Can 150 ml
67,10970,Schweppes Soda Water Plastic Bottle 1000 ml
68,12071,Pepsi Plastic Bottle 1750 ml
69,12063,Pepsi Max Raspberry Plastic Bottle 1250 ml
70,12062,Pepsi Diet Coffeine Free Plastic Bottle 2000 ml
71,12061,Oasis Summer Fruits Plastic Bottle 375 ml
72,11021,Oasis Mango Medley Plastic Bottle 500 ml
73,12073,Lucozade Zero Original Plastic Bottle 1000 ml
74,12081,Lucozade Zero Orange Plastic Bottle 1000 ml
75,12080,Lucozade Energy Cherry Plastic Bottle 1000 ml
76,12068,Innocent Seriously Strawberry Plastic Bottle 250 ml
77,12069,Innocent Magnificent Mango Plastic Bottle 250 ml
78,12067,Innocent Gorgeous Greens Plastic Bottle 250 ml
79,12075,IRN-BRU Xtra Original And Best Plastic Bottle 2000 ml
80,12055,IRN-BRU Xtra Original And Best Glass Bottle 750 ml
81,12064,IRN-BRU Plastic Bottle 2000 ml
82,12058,Fuze Tea Green Ice Tea Lime Mint Plastic Bottle 500 ml
83,12072,Evian Fruits And Plants Grape Rose Organic Plastic Bottle 370 ml
84,12070,Evian Eau Natural Mineral Water Plastic Bottle 330 ml
85,12082,Euro Shopper Original Energy Drink Sleek Can 500 ml
86,11180,Euro Shopper Original Energy Drink Sleek Can 250 ml
87,12066,Dr Pepper Plastic Bottle 450 ml
88,12065,Dr Pepper Cherry Plastic Bottle 450 ml
89,12060,Combo_Oasis Summer Fruits Plastic Bottle 375 ml_Portable 4 Plastic Bottle
90,12059,Combo_Oasis Summer Fruits Plastic Bottle 1500 ml_Plastic Film 12 Plastic Bottle
91,12057,Combo_Monster Mixxd Punch Energy Sleek Can 500 ml_Transport Box 12 Sleek Can
92,11155,Volvic Touch of Fruit Lemon And Lime Plastic Bottle 750 ml
